Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,B365H,B365D,B365A,HomePoints,AwayPoints,HomeForm,AwayForm,HomeGolosMarcados_Ultimos6,HomeGolosSofridos_Ultimos6,HomePontos_Ultimos6,HomeRematesBaliza_Ultimos6,AwayGolosMarcados_Ultimos6,AwayGolosSofridos_Ultimos6,AwayPontos_Ultimos6,AwayRematesBaliza_Ultimos6,H2H_Pontos_Casa,HomeDiasDescanso,AwayDiasDescanso,Home_Streak,Away_Streak,Home_Elo,Away_Elo,Jogos_Casa_Realizados,Peso_Jogo
2021-10-25,Gil Vicente,Sp Braga,0,1,A,7,4,4.0,3.4,1.9,0,3,9,13,1.0,1.6666666666666667,3.0,4.5,1.5,1.0,10.0,5.666666666666667,1.0,14,14,0,0,1485.6571086263868,1522.3027319715138,4,0.05152181749794906
2021-10-25,Boavista,Belenenses,0,0,D,5,0,1.9,3.3,3.8,1,1,10,4,1.3333333333333333,1.3333333333333333,7.0,3.1666666666666665,0.6666666666666666,1.3333333333333333,4.0,2.5,1.0,14,14,0,-1,1503.4566525280613,1448.2794628563875,4,0.05152181749794906
2021-10-29,Arouca,Tondela,2,0,H,2,6,2.3,3.25,3.1,3,0,6,9,1.0,1.8333333333333333,3.0,4.166666666666667,1.5,2.0,6.0,3.1666666666666665,1.0,5,6,0,-1,1450.238254290029,1466.5328162191452,4,0.05180490369704198
2021-10-30,Porto,Boavista,4,1,H,11,3,1.18,6.5,13.0,3,0,23,11,2.6666666666666665,0.6666666666666666,16.0,5.666666666666667,1.0,1.3333333333333333,5.0,3.3333333333333335,1.0,7,5,4,0,1588.1458922122645,1501.0942892092653,4,0.05187591794733724
2021-10-30,Estoril,Benfica,1,1,D,2,7,8.0,4.2,1.4,1,1,18,24,1.5,1.0,11.0,2.8333333333333335,2.3333333333333335,0.6666666666666666,15.0,6.166666666666667,1.0,6,6,1,1,1549.2023662659915,1585.4319575410484,4,0.05187591794733724
2021-10-30,Sp Lisbon,Guimaraes,1,0,H,4,2,1.53,4.2,5.5,3,0,23,13,1.1666666666666667,0.5,14.0,5.5,1.1666666666666667,1.1666666666666667,9.0,4.5,1.0,7,8,4,2,1587.7399094866305,1514.8792933634402,5,0.05187591794733724
2021-10-31,Maritimo,Gil Vicente,1,2,A,7,5,2.75,2.9,2.7,0,3,7,9,0.6666666666666666,1.1666666666666667,3.0,1.8333333333333333,1.0,1.5,3.0,5.333333333333333,1.0,9,6,-1,-1,1459.749769575872,1472.2333863909344,4,0.05194702954408786
2021-10-31,Belenenses,Santa Clara,2,1,H,4,4,3.0,2.9,2.5,3,0,5,6,0.6666666666666666,1.0,5.0,2.5,0.6666666666666666,1.8333333333333333,5.0,2.5,1.0,6,8,0,-1,1450.6418261751835,1448.9612875954547,4,0.05194702954408786
2021-10-31,Famalicao,Vizela,1,1,D,5,3,1.9,3.25,4.2,1,1,6,8,1.3333333333333333,1.3333333333333333,6.0,5.166666666666667,0.8333333333333334,1.0,5.0,4.0,1.0,8,7,1,-1,1449.0824096324072,1476.6711994988068,4,0.05194702954408786
2021-11-01,Sp Braga,Portimonense,3,0,H,5,2,1.44,4.5,6.5,3,0,16,14,1.1666666666666667,0.6666666666666666,10.0,5.166666666666667,0.6666666666666666,0.8333333333333334,8.0,3.6666666666666665,1.0,7,8,1,-1,1535.7264542069663,1515.7579647944922,4,0.052018238620736526
2021-11-01,Moreirense,Pacos Ferreira,1,1,D,1,4,2.4,3.2,3.1,1,1,7,10,0.8333333333333334,1.6666666666666667,6.0,3.1666666666666665,0.8333333333333334,0.8333333333333334,7.0,2.5,1.0,9,8,-1,0,1462.762520195012,1485.148403347056,4,0.052018238620736526
